filename,size,rseries
07180809_0418_F0010,147.826MiB,R68
07180809_0428_F0001,51.005MiB,R68
07180809_0428_F0002,176.366MiB,R68
07180809_0428_F0003,178.022MiB,R68
07180809_0428_F0004,177.604MiB,R68
07180809_0428_F0005,175.968MiB,R68
07180809_0428_F0006,179.280MiB,R68
07180809_0428_F0007,176.600MiB,R68
07180809_0428_F0008,176.419MiB,R68
07180809_0428_F0009,177.096MiB,R68
07180809_0428_F0010,142.710MiB,R68
07180809_0438_F0001,50.333MiB,R68
07180809_0438_F0002,180.748MiB,R68
07180809_0438_F0003,180.392MiB,R68
07180809_0438_F0004,177.889MiB,R68
07180809_0438_F0005,186.028MiB,R68
07180809_0438_F0006,178.258MiB,R68
07180809_0438_F0007,182.997MiB,R68
07180809_0438_F0008,183.995MiB,R68
07180809_0438_F0009,182.559MiB,R68
07180809_0438_F0010,145.356MiB,R68
07180809_0448_F0001,51.777MiB,R68
07180809_0448_F0002,184.407MiB,R68
07180809_0448_F0003,179.967MiB,R68
07180809_0448_F0004,180.210MiB,R68
07180809_0448_F0005,178.661MiB,R68
07180809_0448_F0006,184.146MiB,R68
07180809_0448_F0007,183.366MiB,R68
07180809_0448_F0008,179.669MiB,R68
07180809_0448_F0009,184.689MiB,R68
07180809_0448_F0010,148.525MiB,R68
07180809_0458_F0001,52.511MiB,R68
07180809_0458_F0002,183.676MiB,R68
07180809_0458_F0003,176.705MiB,R68
07180809_0458_F0004,179.459MiB,R68
07180809_0458_F0005,183.260MiB,R68
07180809_0458_F0006,183.116MiB,R68
07180809_0458_F0007,184.116MiB,R68
07180809_0458_F0008,182.092MiB,R68
07180809_0458_F0009,180.238MiB,R68
07180809_0458_F0010,148.502MiB,R68
07180809_0508_F0001,53.873MiB,R68
07180809_0508_F0002,181.880MiB,R68
07180809_0508_F0003,179.674MiB,R68
07180809_0508_F0004,178.873MiB,R68
07180809_0508_F0005,180.349MiB,R68
07180809_0508_F0006,182.191MiB,R68
07180809_0508_F0007,176.861MiB,R68
07180809_0508_F0008,174.870MiB,R68
07180809_0508_F0009,176.719MiB,R68
07180809_0508_F0010,146.763MiB,R68
07180809_0518_F0001,53.064MiB,R68
07180809_0518_F0002,182.275MiB,R68
07180809_0518_F0003,184.047MiB,R68
07180809_0518_F0004,181.288MiB,R68
07180809_0518_F0005,174.845MiB,R68
07180809_0518_F0006,180.966MiB,R68
07180809_0518_F0007,181.971MiB,R68
07180809_0518_F0008,181.460MiB,R68
07180809_0518_F0009,182.067MiB,R68
07180809_0518_F0010,150.554MiB,R68
07180809_0528_F0001,52.455MiB,R68
07180809_0528_F0002,184.590MiB,R68
07180809_0528_F0003,179.033MiB,R68
07180809_0528_F0004,179.679MiB,R68
07180809_0528_F0005,181.712MiB,R68
07180809_0528_F0006,184.775MiB,R68
07180809_0528_F0007,179.030MiB,R68
07180809_0528_F0008,173.576MiB,R68
07180809_0528_F0009,184.970MiB,R68
07180809_0528_F0010,150.066MiB,R68
07180809_0538_F0001,51.663MiB,R68
07180809_0538_F0002,181.399MiB,R68
07180809_0538_F0003,186.028MiB,R68
07180809_0538_F0004,184.072MiB,R68
07180809_0538_F0005,178.617MiB,R68
07180809_0538_F0006,184.092MiB,R68
07180809_0538_F0007,181.431MiB,R68
07180809_0538_F0008,183.707MiB,R68
07180809_0538_F0009,184.382MiB,R68
07180809_0538_F0010,143.488MiB,R68
07180809_0548_F0001,50.799MiB,R68
07180809_0548_F0002,181.619MiB,R68
07180809_0548_F0003,182.871MiB,R68
07180809_0548_F0004,182.997MiB,R68
07180809_0548_F0005,178.696MiB,R68
07180809_0548_F0006,183.166MiB,R68
07180809_0548_F0007,180.448MiB,R68
07180809_0548_F0008,175.458MiB,R68
